cluster_id	total_hits	terminal_hits	left_hits	right_hits	terminal_fraction	expected_terminal_fraction	terminal_enrichment	median_width	mean_width	min_width	max_width	n_chromosomes	score
cluster_300	41815	471	435	36	0.011263900514169556	0.003920968219582141	2.8727344582685634	15	16.021379887600144	11	531	1	920.0290668313423
cluster_319	35608	403	353	50	0.01131768141990564	0.003920968219582141	2.8864506892411814	15.0	15.704701190743654	11	520	1	789.2566442894819
cluster_341	30341	320	286	34	0.010546784878547181	0.003920968219582141	2.689841969612076	15	15.96203157443723	11	491	1	602.738889327263
cluster_343	33040	314	284	30	0.00950363196125908	0.003920968219582141	2.4237972431900725	15.0	16.13156779661017	11	490	1	557.5375421719127
cluster_301	32485	311	280	31	0.00957364937663537	0.003920968219582141	2.4416544181160535	15	15.375434816068955	11	531	1	554.5447970732555
cluster_437	15012	161	145	16	0.010724753530508927	0.003920968219582141	2.7352309250932585	15.0	16.626432187583266	11	375	1	306.0927875575479
cluster_505	14681	149	127	22	0.010149172399700293	0.003920968219582141	2.588435261732852	15	16.84176827191608	11	357	1	274.659879140755
cluster_603	12566	128	112	16	0.010186216775425753	0.003920968219582141	2.5978830240331052	15.0	16.38707623746618	11	347	1	236.4349800718771
cluster_1636	9613	112	100	12	0.011650889420576302	0.003920968219582141	2.9714317403516066	16	17.151461562467492	11	341	1	222.84183117818853
cluster_1767	7667	94	86	8	0.012260336507108387	0.003920968219582141	3.1268645448023995	18	17.662188600495632	11	335	1	192.23433206984808
cluster_337	9763	92	80	12	0.009423332991908225	0.003920968219582141	2.4033178705315987	15	16.209157021407353	11	504	1	162.55865531384148
cluster_643	8006	80	70	10	0.009992505620784412	0.003920968219582141	2.5484791156632522	15.0	16.21296527604297	11	345	1	146.17606523842755
cluster_438	9125	83	74	9	0.009095890410958905	0.003920968219582141	2.3198072265753424	15	15.76668493150685	11	374	1	143.681256017035
cluster_559	6552	66	60	6	0.010073260073260074	0.003920968219582141	2.5690746543040293	15.0	16.30952380952381	11	350	1	121.14630518379708
