cluster_id	total_members	sampled_members	representative_seq_id
cluster_18482	173	173	mistletoe_SUPER_5_TRASH_002809018
cluster_18710	223	223	mistletoe_SUPER_5_TRASH_002809019
cluster_18712	217	217	mistletoe_SUPER_5_TRASH_002809031
cluster_18873	112	112	mistletoe_SUPER_5_TRASH_002809026
cluster_18874	166	166	mistletoe_SUPER_5_TRASH_002809032
cluster_19185	208	208	mistletoe_SUPER_5_TRASH_002809017
cluster_19186	222	222	mistletoe_SUPER_5_TRASH_002809030
cluster_20494	177	177	mistletoe_SUPER_5_TRASH_002809042
cluster_22394	102	102	mistletoe_SUPER_5_TRASH_002809025
cluster_71193	86	86	mistletoe_SUPER_5_TRASH_002809068
cluster_73378	96	96	mistletoe_SUPER_5_TRASH_002809076
cluster_73738	25	25	mistletoe_SUPER_5_TRASH_002809066
