chromosome	chrom	start0	end	cluster_id	seq_id	width	strand
SUPER_1	SUPER_1	2690	2878	cluster_21493	mistletoe_SUPER_1_TRASH_000000015	188	-
SUPER_1	SUPER_1	5330	5518	cluster_21493	mistletoe_SUPER_1_TRASH_000000029	188	-
SUPER_1	SUPER_1	7971	8159	cluster_21493	mistletoe_SUPER_1_TRASH_000000043	188	-
SUPER_1	SUPER_1	10612	10800	cluster_21493	mistletoe_SUPER_1_TRASH_000000057	188	-
SUPER_1	SUPER_1	13253	13441	cluster_21493	mistletoe_SUPER_1_TRASH_000000071	188	-
SUPER_1	SUPER_1	15893	16081	cluster_21493	mistletoe_SUPER_1_TRASH_000000085	188	-
SUPER_1	SUPER_1	18534	18722	cluster_21493	mistletoe_SUPER_1_TRASH_000000099	188	-
SUPER_1	SUPER_1	21175	21363	cluster_21493	mistletoe_SUPER_1_TRASH_000000113	188	-
SUPER_1	SUPER_1	23815	24003	cluster_21493	mistletoe_SUPER_1_TRASH_000000127	188	-
SUPER_1	SUPER_1	26457	26645	cluster_21493	mistletoe_SUPER_1_TRASH_000000141	188	-
SUPER_1	SUPER_1	29096	29284	cluster_21493	mistletoe_SUPER_1_TRASH_000000155	188	-
SUPER_1	SUPER_1	31738	31926	cluster_21493	mistletoe_SUPER_1_TRASH_000000169	188	-
SUPER_1	SUPER_1	34379	34567	cluster_21493	mistletoe_SUPER_1_TRASH_000000183	188	-
SUPER_1	SUPER_1	37020	37208	cluster_21493	mistletoe_SUPER_1_TRASH_000000197	188	-
SUPER_1	SUPER_1	39662	39850	cluster_21493	mistletoe_SUPER_1_TRASH_000000211	188	-
SUPER_1	SUPER_1	42303	42492	cluster_21493	mistletoe_SUPER_1_TRASH_000000225	189	-
SUPER_1	SUPER_1	44946	45134	cluster_21493	mistletoe_SUPER_1_TRASH_000000239	188	-
SUPER_1	SUPER_1	47586	47774	cluster_21493	mistletoe_SUPER_1_TRASH_000000253	188	-
SUPER_1	SUPER_1	50227	50412	cluster_21493	mistletoe_SUPER_1_TRASH_000000267	185	-
SUPER_1	SUPER_1	52861	53049	cluster_21493	mistletoe_SUPER_1_TRASH_000000281	188	-
SUPER_1	SUPER_1	55500	55688	cluster_21493	mistletoe_SUPER_1_TRASH_000000295	188	-
SUPER_1	SUPER_1	58139	58327	cluster_21493	mistletoe_SUPER_1_TRASH_000000309	188	-
SUPER_1	SUPER_1	60780	60968	cluster_21493	mistletoe_SUPER_1_TRASH_000000323	188	-
SUPER_1	SUPER_1	63422	63610	cluster_21493	mistletoe_SUPER_1_TRASH_000000337	188	-
SUPER_1	SUPER_1	66061	66249	cluster_21493	mistletoe_SUPER_1_TRASH_000000351	188	-
SUPER_1	SUPER_1	68701	68889	cluster_21493	mistletoe_SUPER_1_TRASH_000000365	188	-
