window	chrom_end	n_hits	total_aligned_bp	best_bitscore
10	OY728144.1:619086780-621086779	1760	494121	388
11	OY728145.1:1-2000000	473	136717	327
13	OY728150.1:1-2000000	327	92569	360
14	OY728154.1:141347571-143347570	461	129544	361
15	OY728155.1:1-2000000	760	203135	362
16	OY728158.1:1912313493-1914313492	32	9097	315
17	OY728159.1:1-2000000	3	317	91.5
18	OY728162.1:1553468502-1555468501	70	19799	263
19	OY728163.1:1-2000000	497	134279	345
3	OY728125.1:1-2000000	883	247647	388
4	OY728129.1:1868266306-1870266305	1261	332824	334
5	OY728130.1:1-2000000	253	75289	316
6	OY728134.1:1574301308-1576301307	129	34999	332
7	OY728135.1:1-2000000	61	15800	342
8	OY728139.1:1529582848-1531582847	217	60149	329
9	OY728140.1:1-2000000	302	81871	336
